respondent_id,brand_origin,body_type,engine,price,rating
R0001,Domestic,Sedan,Petrol,"$45,000",1
R0001,Asian,Compact,Electric,"$45,000",2
R0001,European,SUV,Petrol,"$35,000",5
R0001,European,Compact,Petrol,"$25,000",4
R0001,Asian,Compact,Electric,"$25,000",4
R0001,Asian,SUV,Electric,"$25,000",5
R0001,Domestic,SUV,Hybrid,"$35,000",7
R0001,Domestic,Sedan,Petrol,"$25,000",1
R0001,European,SUV,Electric,"$45,000",6
R0001,European,Sedan,Petrol,"$35,000",2
R0001,Asian,Compact,Hybrid,"$25,000",4
R0001,European,Compact,Petrol,"$35,000",4
R0001,European,SUV,Hybrid,"$35,000",5
R0001,Asian,Sedan,Petrol,"$35,000",2
R0001,European,SUV,Petrol,"$25,000",4
R0001,European,Compact,Electric,"$45,000",5
R0002,Asian,Sedan,Petrol,"$45,000",6
R0002,European,Sedan,Petrol,"$25,000",5
R0002,Asian,Compact,Petrol,"$45,000",5
R0002,Domestic,SUV,Hybrid,"$25,000",6
R0002,European,SUV,Petrol,"$25,000",7
R0002,Domestic,Sedan,Petrol,"$25,000",7
R0002,European,Compact,Petrol,"$35,000",5
R0002,European,Sedan,Electric,"$25,000",8
R0002,Asian,SUV,Hybrid,"$35,000",5
R0002,Domestic,Compact,Hybrid,"$45,000",2
R0002,Domestic,Compact,Hybrid,"$25,000",8
R0002,Domestic,SUV,Electric,"$35,000",5
R0002,Asian,SUV,Petrol,"$45,000",2
R0002,Asian,SUV,Petrol,"$25,000",8
R0002,Asian,SUV,Petrol,"$35,000",6
R0002,European,Compact,Hybrid,"$35,000",6
R0003,European,Sedan,Hybrid,"$35,000",6
R0003,Asian,Compact,Petrol,"$35,000",5
R0003,Domestic,SUV,Petrol,"$25,000",6
R0003,Asian,Sedan,Hybrid,"$25,000",8
R0003,Asian,Sedan,Electric,"$35,000",7
R0003,European,SUV,Petrol,"$35,000",5
R0003,Domestic,SUV,Hybrid,"$35,000",5
R0003,Asian,Compact,Electric,"$35,000",5
R0003,Asian,SUV,Petrol,"$35,000",5
R0003,Asian,Compact,Hybrid,"$45,000",5
R0003,Domestic,Compact,Electric,"$35,000",6
R0003,Domestic,Compact,Hybrid,"$45,000",3
R0003,Asian,SUV,Electric,"$35,000",6
R0003,European,Compact,Electric,"$35,000",5
R0003,European,Sedan,Electric,"$25,000",8
R0003,Asian,SUV,Petrol,"$25,000",6
R0004,Asian,Sedan,Petrol,"$45,000",4
R0004,Asian,SUV,Hybrid,"$25,000",5
R0004,Domestic,Compact,Hybrid,"$25,000",6
R0004,European,SUV,Electric,"$45,000",9
R0004,Asian,Compact,Petrol,"$35,000",5
R0004,Domestic,Sedan,Petrol,"$45,000",5
R0004,Domestic,SUV,Electric,"$35,000",8
R0004,European,Compact,Petrol,"$25,000",7
