respondent_id,brand,price_per_month,beans,delivery,rating
R0001,Nordic Roast,$14,Single origin,Every two weeks,6
R0001,Casa Verde,$14,House blend,Monthly,4
R0001,Nordic Roast,$19,Single origin,Monthly,6
R0001,Casa Verde,$24,Single origin,Every two weeks,5
R0001,Casa Verde,$24,House blend,Weekly,1
R0001,Nordic Roast,$19,House blend,Monthly,3
R0001,Nordic Roast,$24,House blend,Weekly,3
R0001,Nordic Roast,$19,House blend,Weekly,4
R0001,Arabica Hills,$19,House blend,Every two weeks,7
R0001,Nordic Roast,$19,Single origin,Weekly,6
R0001,Casa Verde,$19,Single origin,Weekly,5
R0001,Nordic Roast,$14,House blend,Monthly,6
R0001,Casa Verde,$14,Single origin,Every two weeks,7
R0001,Nordic Roast,$14,House blend,Weekly,6
R0002,Casa Verde,$24,House blend,Monthly,1
R0002,Nordic Roast,$19,House blend,Monthly,3
R0002,Nordic Roast,$19,Single origin,Monthly,5
R0002,Nordic Roast,$19,House blend,Weekly,4
R0002,Arabica Hills,$24,House blend,Every two weeks,4
R0002,Nordic Roast,$14,House blend,Weekly,9
R0002,Nordic Roast,$14,Single origin,Monthly,5
R0002,Casa Verde,$24,House blend,Weekly,4
R0002,Nordic Roast,$14,Single origin,Every two weeks,8
R0002,Arabica Hills,$19,Single origin,Every two weeks,8
R0002,Arabica Hills,$24,Single origin,Monthly,5
R0002,Nordic Roast,$14,Single origin,Weekly,9
R0002,Arabica Hills,$19,House blend,Every two weeks,5
R0002,Casa Verde,$14,House blend,Every two weeks,7
R0003,Casa Verde,$14,Single origin,Weekly,8
R0003,Nordic Roast,$19,Single origin,Weekly,7
R0003,Casa Verde,$24,House blend,Weekly,4
R0003,Arabica Hills,$14,Single origin,Every two weeks,8
R0003,Nordic Roast,$14,Single origin,Monthly,6
R0003,Nordic Roast,$14,House blend,Monthly,6
R0003,Nordic Roast,$24,Single origin,Monthly,3
R0003,Arabica Hills,$14,Single origin,Monthly,6
R0003,Arabica Hills,$24,Single origin,Monthly,3
R0003,Casa Verde,$24,House blend,Monthly,1
R0003,Casa Verde,$24,Single origin,Monthly,1
R0003,Nordic Roast,$14,House blend,Weekly,8
R0003,Nordic Roast,$14,Single origin,Every two weeks,7
R0003,Casa Verde,$19,Single origin,Weekly,8
R0004,Casa Verde,$19,Single origin,Monthly,2
R0004,Arabica Hills,$24,Single origin,Monthly,2
R0004,Casa Verde,$14,House blend,Monthly,5
R0004,Arabica Hills,$19,Single origin,Weekly,5
R0004,Casa Verde,$24,Single origin,Every two weeks,4
R0004,Casa Verde,$19,Single origin,Weekly,3
R0004,Nordic Roast,$19,House blend,Weekly,4
R0004,Arabica Hills,$24,Single origin,Weekly,3
R0004,Arabica Hills,$14,House blend,Every two weeks,7
R0004,Casa Verde,$24,House blend,Weekly,3
R0004,Nordic Roast,$14,House blend,Weekly,5
R0004,Casa Verde,$24,Single origin,Monthly,1
R0004,Arabica Hills,$19,Single origin,Monthly,2
R0004,Arabica Hills,$19,House blend,Every two weeks,6
R0005,Arabica Hills,$14,Single origin,Weekly,9
R0005,Nordic Roast,$24,Single origin,Every two weeks,4
R0005,Arabica Hills,$14,House blend,Weekly,9
R0005,Arabica Hills,$19,Single origin,Every two weeks,6
R0005,Nordic Roast,$14,Single origin,Weekly,9
R0005,Nordic Roast,$24,Single origin,Weekly,4
R0005,Arabica Hills,$14,Single origin,Monthly,6
R0005,Casa Verde,$19,House blend,Weekly,5
R0005,Casa Verde,$14,House blend,Every two weeks,7
R0005,Casa Verde,$14,Single origin,Weekly,8
R0005,Arabica Hills,$19,Single origin,Weekly,7
R0005,Nordic Roast,$24,House blend,Every two weeks,3
R0005,Casa Verde,$14,Single origin,Every two weeks,8
R0005,Casa Verde,$19,Single origin,Monthly,4
R0006,Nordic Roast,$24,Single origin,Every two weeks,7
R0006,Arabica Hills,$14,Single origin,Every two weeks,10
R0006,Casa Verde,$19,Single origin,Weekly,7
R0006,Arabica Hills,$24,Single origin,Monthly,5
R0006,Arabica Hills,$19,Single origin,Weekly,8
R0006,Arabica Hills,$14,House blend,Monthly,5
R0006,Nordic Roast,$19,Single origin,Monthly,5
R0006,Nordic Roast,$24,House blend,Monthly,2
R0006,Arabica Hills,$24,House blend,Weekly,4
R0006,Arabica Hills,$24,Single origin,Weekly,7
R0006,Arabica Hills,$24,Single origin,Every two weeks,8
R0006,Casa Verde,$19,Single origin,Monthly,7
R0006,Nordic Roast,$14,House blend,Weekly,4
R0006,Casa Verde,$14,House blend,Every two weeks,8
R0007,Nordic Roast,$24,Single origin,Weekly,5
R0007,Arabica Hills,$14,House blend,Every two weeks,8
R0007,Casa Verde,$19,Single origin,Monthly,3
R0007,Arabica Hills,$24,House blend,Weekly,6
R0007,Nordic Roast,$19,House blend,Monthly,3
R0007,Nordic Roast,$24,Single origin,Every two weeks,4
R0007,Arabica Hills,$24,House blend,Monthly,2
R0007,Nordic Roast,$14,House blend,Weekly,8
R0007,Casa Verde,$14,House blend,Every two weeks,6
R0007,Casa Verde,$14,House blend,Weekly,6
R0007,Arabica Hills,$24,Single origin,Weekly,7
R0007,Arabica Hills,$19,House blend,Weekly,8
R0007,Arabica Hills,$19,House blend,Every two weeks,5
R0007,Casa Verde,$24,House blend,Every two weeks,3
R0008,Arabica Hills,$14,House blend,Monthly,7
R0008,Casa Verde,$19,Single origin,Monthly,5
R0008,Arabica Hills,$14,House blend,Weekly,7
R0008,Arabica Hills,$14,House blend,Every two weeks,6
R0008,Nordic Roast,$24,House blend,Every two weeks,6
R0008,Casa Verde,$14,House blend,Monthly,7
R0008,Nordic Roast,$24,Single origin,Every two weeks,5
R0008,Casa Verde,$24,Single origin,Weekly,4
R0008,Arabica Hills,$14,Single origin,Monthly,6
R0008,Nordic Roast,$24,House blend,Weekly,5
R0008,Nordic Roast,$14,Single origin,Every two weeks,9
R0008,Nordic Roast,$19,House blend,Monthly,5
R0008,Casa Verde,$19,House blend,Monthly,4
R0008,Casa Verde,$24,Single origin,Monthly,3
R0009,Casa Verde,$14,Single origin,Weekly,8
R0009,Arabica Hills,$19,House blend,Weekly,7
R0009,Nordic Roast,$14,Single origin,Every two weeks,9
R0009,Arabica Hills,$19,Single origin,Every two weeks,6
R0009,Nordic Roast,$24,House blend,Monthly,2
R0009,Arabica Hills,$14,House blend,Weekly,7
R0009,Arabica Hills,$24,Single origin,Every two weeks,7
R0009,Arabica Hills,$14,Single origin,Every two weeks,10
R0009,Casa Verde,$14,House blend,Weekly,5
R0009,Nordic Roast,$19,Single origin,Weekly,6
R0009,Casa Verde,$14,House blend,Every two weeks,6
R0009,Casa Verde,$24,House blend,Every two weeks,3
R0009,Nordic Roast,$24,House blend,Weekly,4
R0009,Arabica Hills,$19,Single origin,Monthly,5
R0010,Nordic Roast,$24,House blend,Monthly,3
R0010,Casa Verde,$19,House blend,Every two weeks,4
R0010,Arabica Hills,$19,House blend,Weekly,6
R0010,Casa Verde,$24,Single origin,Weekly,4
R0010,Casa Verde,$19,Single origin,Every two weeks,8
R0010,Arabica Hills,$19,House blend,Every two weeks,7
R0010,Nordic Roast,$19,Single origin,Every two weeks,8
R0010,Casa Verde,$19,Single origin,Weekly,5
R0010,Nordic Roast,$19,Single origin,Weekly,7
R0010,Casa Verde,$14,Single origin,Every two weeks,8
R0010,Nordic Roast,$19,House blend,Every two weeks,6
R0010,Nordic Roast,$19,House blend,Monthly,4
R0010,Nordic Roast,$14,House blend,Every two weeks,6
R0010,Casa Verde,$14,Single origin,Weekly,6
R0011,Nordic Roast,$24,House blend,Every two weeks,4
R0011,Arabica Hills,$24,House blend,Every two weeks,3
R0011,Casa Verde,$19,Single origin,Every two weeks,6
R0011,Arabica Hills,$19,House blend,Weekly,7
R0011,Nordic Roast,$14,House blend,Monthly,3
R0011,Arabica Hills,$14,Single origin,Weekly,9
R0011,Nordic Roast,$14,House blend,Every two weeks,7
R0011,Nordic Roast,$24,Single origin,Every two weeks,4
R0011,Casa Verde,$24,House blend,Monthly,1
R0011,Nordic Roast,$14,Single origin,Weekly,8
R0011,Nordic Roast,$24,House blend,Monthly,2
R0011,Arabica Hills,$19,House blend,Monthly,3
R0011,Casa Verde,$14,House blend,Every two weeks,5
R0011,Arabica Hills,$19,Single origin,Monthly,5
R0012,Arabica Hills,$24,House blend,Weekly,2
R0012,Nordic Roast,$19,House blend,Weekly,7
R0012,Arabica Hills,$19,Single origin,Monthly,3
R0012,Nordic Roast,$19,House blend,Every two weeks,5
R0012,Casa Verde,$19,House blend,Every two weeks,6
R0012,Nordic Roast,$19,House blend,Monthly,6
R0012,Nordic Roast,$14,Single origin,Monthly,4
R0012,Casa Verde,$19,Single origin,Monthly,3
R0012,Arabica Hills,$24,Single origin,Monthly,1
R0012,Arabica Hills,$14,House blend,Every two weeks,6
R0012,Nordic Roast,$14,Single origin,Every two weeks,8
R0012,Casa Verde,$14,House blend,Weekly,6
R0012,Casa Verde,$24,Single origin,Every two weeks,4
R0012,Casa Verde,$19,House blend,Weekly,6
R0013,Casa Verde,$14,Single origin,Monthly,4
R0013,Arabica Hills,$24,House blend,Weekly,6
R0013,Casa Verde,$24,House blend,Every two weeks,1
R0013,Nordic Roast,$14,House blend,Every two weeks,6
R0013,Arabica Hills,$14,House blend,Monthly,5
R0013,Nordic Roast,$19,Single origin,Monthly,6
R0013,Casa Verde,$24,House blend,Weekly,4
R0013,Casa Verde,$19,House blend,Every two weeks,6
R0013,Arabica Hills,$19,House blend,Every two weeks,7
R0013,Nordic Roast,$19,House blend,Every two weeks,5
R0013,Nordic Roast,$19,Single origin,Weekly,6
R0013,Casa Verde,$14,House blend,Weekly,5
R0013,Casa Verde,$24,Single origin,Monthly,3
R0013,Arabica Hills,$14,House blend,Weekly,7
R0014,Casa Verde,$14,House blend,Monthly,4
R0014,Arabica Hills,$24,House blend,Weekly,3
R0014,Arabica Hills,$19,Single origin,Every two weeks,6
R0014,Arabica Hills,$24,House blend,Every two weeks,1
R0014,Nordic Roast,$14,House blend,Every two weeks,7
R0014,Arabica Hills,$19,Single origin,Monthly,6
R0014,Nordic Roast,$24,Single origin,Weekly,4
R0014,Casa Verde,$14,House blend,Weekly,7
R0014,Nordic Roast,$14,Single origin,Every two weeks,8
R0014,Casa Verde,$24,Single origin,Monthly,1
R0014,Arabica Hills,$19,Single origin,Weekly,7
R0014,Arabica Hills,$14,Single origin,Monthly,6
R0014,Nordic Roast,$24,House blend,Monthly,3
R0014,Nordic Roast,$19,Single origin,Every two weeks,6
R0015,Casa Verde,$19,House blend,Every two weeks,2
R0015,Casa Verde,$24,Single origin,Weekly,4
R0015,Arabica Hills,$14,Single origin,Monthly,9
R0015,Casa Verde,$19,House blend,Monthly,2
R0015,Arabica Hills,$14,Single origin,Every two weeks,9
R0015,Nordic Roast,$24,Single origin,Weekly,7
R0015,Casa Verde,$24,House blend,Weekly,5
R0015,Arabica Hills,$24,House blend,Monthly,3
R0015,Casa Verde,$14,Single origin,Monthly,6
R0015,Arabica Hills,$24,Single origin,Monthly,3
R0015,Arabica Hills,$14,House blend,Monthly,6
R0015,Nordic Roast,$19,House blend,Every two weeks,5
